"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.075525000E-2;9.415420532E-2;6.586303711E-2;9.774673462E0;9.775348804E0
2.073425000E-2;9.041198730E-2;6.706054688E-2;9.795180817E0;9.795827616E0
3.071425000E-2;8.652008057E-2;7.604187012E-2;9.809550934E0;9.810227195E0
4.069325000E-2;9.026229858E-2;6.900650024E-2;9.772727509E0;9.773387956E0
5.067225000E-2;8.113128662E-2;6.406677246E-2;9.753417664E0;9.753965499E0
6.065125000E-2;7.095245361E-2;6.840774536E-2;9.786049805E0;9.786546104E0
7.063125000E-2;7.469467163E-2;6.780899048E-2;9.801018677E0;9.801537862E0
8.061025000E-2;8.966354370E-2;6.571334839E-2;9.801467743E0;9.802098128E0
9.058925000E-2;8.143066406E-2;6.676116943E-2;9.800120544E0;9.800686236E0
1.005692500E-1;7.948471069E-2;7.140151978E-2;9.762698364E0;9.763283021E0
1.105482500E-1;9.624984741E-2;6.631210327E-2;9.775272217E0;9.775970962E0
1.205272500E-1;7.738906860E-2;6.735992432E-2;9.777517548E0;9.778055830E0
1.305072500E-1;6.721023560E-2;7.125183105E-2;9.799671478E0;9.800160974E0
1.404862500E-1;8.547225952E-2;6.765930176E-2;9.791288910E0;9.791895721E0
1.504652500E-1;8.382568359E-2;6.197113037E-2;9.732012177E0;9.732570481E0
1.604452500E-1;8.861572266E-2;6.721023560E-2;9.741143188E0;9.741778102E0
1.704242500E-1;7.229965210E-2;5.882766724E-2;9.811347198E0;9.811789938E0
1.804032500E-1;8.547225952E-2;6.032455444E-2;9.845027161E0;9.845582987E0
1.903832500E-1;8.247848511E-2;5.957611084E-2;9.818681946E0;9.819209091E0
2.003622500E-1;8.307723999E-2;6.002517700E-2;9.740544434E0;9.741083652E0
2.103412500E-1;1.011895752E-1;6.810836792E-2;9.722132721E0;9.722897856E0
2.203202500E-1;8.831634521E-2;6.780899048E-2;9.786199493E0;9.786832908E0
2.303002500E-1;8.457412720E-2;5.733078003E-2;9.834249573E0;9.834780336E0
2.402792500E-1;9.131011963E-2;7.050338745E-2;9.796378326E0;9.797057547E0
2.502582500E-1;7.649093628E-2;6.286926270E-2;9.752369843E0;9.752872446E0
