"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
-1.896458336E-3;2.859054565E-2;7.050338745E-2;9.797276459E0;9.797571850E0
8.083541667E-3;3.427871704E-2;8.622070312E-2;9.789342957E0;9.789782662E0
1.806254167E-2;3.218307495E-2;9.145980835E-2;9.797426147E0;9.797905887E0
2.804254166E-2;3.921844482E-2;1.007405090E-1;9.789642334E0;9.790239209E0
3.802254167E-2;2.933898926E-2;1.137634277E-1;9.782906342E0;9.783611776E0
4.800154167E-2;3.697311401E-2;1.167572021E-1;9.787696381E0;9.788462581E0
5.798154166E-2;2.409988403E-2;1.191522217E-1;9.787097626E0;9.787852573E0
6.796054167E-2;2.529739380E-2;1.296304321E-1;9.780361633E0;9.781253380E0
7.794054167E-2;2.978805542E-2;1.278341675E-1;9.791737976E0;9.792617704E0
8.791954166E-2;9.131011963E-3;1.269360352E-1;9.777816925E0;9.778645098E0
9.789954167E-2;6.286926270E-3;1.082249451E-1;9.773026886E0;9.773628123E0
1.078785417E-1;-1.556762695E-2;1.164578247E-1;9.784253540E0;9.784958973E0
1.178585417E-1;1.407073975E-2;1.225950623E-1;9.776469727E0;9.777248480E0
1.278375417E-1;3.906875610E-2;1.318757629E-1;9.782307587E0;9.783274467E0
1.378175417E-1;4.505630493E-2;1.360670471E-1;9.802665253E0;9.803713091E0
1.477965417E-1;4.730163574E-2;1.553768921E-1;9.775571594E0;9.776920753E0
1.577765417E-1;6.242019653E-2;1.610650635E-1;9.786648560E0;9.788172877E0
1.677555417E-1;6.750961304E-2;1.568737793E-1;9.787097626E0;9.788587583E0
1.777355417E-1;5.373825073E-2;1.507365417E-1;9.782307587E0;9.783616459E0
1.877145417E-1;4.924758911E-2;1.600172424E-1;9.771380310E0;9.772814539E0
1.976945417E-1;4.326004028E-2;1.817221069E-1;9.777068481E0;9.778852819E0
2.076735417E-1;2.754272461E-2;1.902543640E-1;9.772577820E0;9.774468403E0
2.176535417E-1;9.879455566E-3;1.790277100E-1;9.783505096E0;9.785147955E0
2.276325417E-1;1.017883301E-2;1.675016785E-1;9.797575836E0;9.799012842E0
2.376125417E-1;3.053649902E-2;1.752854919E-1;9.774224396E0;9.775843699E0
2.475915417E-1;2.754272461E-2;2.037263489E-1;9.781708832E0;9.783868902E0
2.575715417E-1;1.437011719E-2;2.139051819E-1;9.794282684E0;9.796628768E0
2.675507917E-1;1.466949463E-2;2.077679443E-1;9.775272217E0;9.777490968E0
2.775307917E-1;3.742218018E-2;2.164498901E-1;9.787846069E0;9.790310600E0
2.875097917E-1;3.802093506E-2;2.165995789E-1;9.789642334E0;9.792112029E0
2.974897917E-1;1.526824951E-2;2.299218750E-1;9.781708832E0;9.784422561E0
3.074687917E-1;4.790039062E-3;2.624043274E-1;9.781110077E0;9.784630464E0
3.174487917E-1;-4.490661621E-3;2.983296204E-1;9.783954163E0;9.788502428E0
3.274277917E-1;-2.140548706E-2;3.189866638E-1;9.784103851E0;9.789325761E0
3.374077917E-1;-1.481918335E-2;3.287164307E-1;9.784103851E0;9.789635452E0
3.473877917E-1;1.362167358E-2;3.366499329E-1;9.783954163E0;9.789753714E0
3.573667917E-1;9.580078125E-3;2.134561157E-1;9.772128754E0;9.774464470E0
3.673467917E-1;1.182540894E-2;1.411564636E-1;9.813592529E0;9.814614782E0
3.773257917E-1;-2.005828857E-2;4.370910645E-2;9.772428131E0;9.772546464E0
3.873057917E-1;2.574645996E-2;-1.317260742E-1;9.835896149E0;9.836811866E0
3.972847917E-1;1.945953369E-3;-2.201921082E-1;9.774523773E0;9.777003802E0
4.072647917E-1;-2.634521484E-2;-1.529818726E-1;9.818831635E0;9.820058665E0
4.172437917E-1;1.481918335E-2;1.429527283E-1;9.721084900E0;9.722147228E0
4.272237917E-1;2.130070496E-1;6.750961304E-1;9.751621399E0;9.777282173E0
4.372027917E-1;3.667373657E-1;9.035211182E-1;9.742191010E0;9.790869848E0
4.471827917E-1;5.284011841E-1;1.238823853E0;9.771230621E0;9.863611925E0
4.571617917E-1;6.173162842E-1;1.472787323E0;9.875264282E0;1.000355070E1
4.671417917E-1;5.391787720E-1;1.469643860E0;9.737400970E0;9.862430962E0
4.771207917E-1;6.147715759E-1;1.602717133E0;9.872719574E0;1.002084019E1
4.871007917E-1;4.857398987E-1;1.624571686E0;9.725725250E0;9.872431719E0
4.970797917E-1;3.805087280E-1;1.540895691E0;9.799970856E0;9.927667158E0
5.070597917E-1;3.432362366E-1;1.300794983E0;9.812095642E0;9.903893153E0
5.170387917E-1;3.981719971E-1;1.198856964E0;9.730215912E0;9.811875491E0
5.270187917E-1;2.872526550E-1;1.126407623E0;9.793384552E0;9.862134110E0
5.369977917E-1;1.100212097E-1;1.275946655E0;9.709259491E0;9.793358178E0
5.469777917E-1;2.544708252E-2;1.294058990E0;9.735604706E0;9.821264441E0
5.569567917E-1;1.654060364E-1;1.267115021E0;9.870025177E0;9.952403560E0
5.669367917E-1;1.100212097E-1;1.090632019E0;9.515861664E0;9.578789384E0
