"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.827297900E-2;-9.097966552E-2;6.943184882E-2;9.512462616E0;9.513151061E0
2.026964500E-2;-8.858546615E-2;6.943184882E-2;9.490914345E0;9.491581705E0
2.226631200E-2;-9.576806426E-2;7.182604820E-2;9.476549149E0;9.477305222E0
2.426297900E-2;-1.005564705E-1;7.661445439E-2;9.469367027E0;9.470210836E0
2.625964500E-2;-1.029506698E-1;7.422025502E-2;9.466972351E0;9.467823033E0
2.825631200E-2;-1.053448766E-1;6.464344263E-2;9.464578629E0;9.465385620E0
3.025303100E-2;-1.029506698E-1;5.746084079E-2;9.452607155E0;9.453342404E0
3.224980200E-2;-1.053448766E-1;6.464344263E-2;9.452607155E0;9.453415168E0
3.424662500E-2;-1.053448766E-1;7.661445439E-2;9.469367027E0;9.470262890E0
3.624350000E-2;-1.053448766E-1;7.900865376E-2;9.478943825E0;9.479858435E0
3.824042700E-2;-1.029506698E-1;6.943184882E-2;9.483732224E0;9.484545140E0
4.023740600E-2;-1.053448766E-1;6.224924326E-2;9.490914345E0;9.491703093E0
4.223448900E-2;-1.077390760E-1;7.182604820E-2;9.474155426E0;9.475040249E0
4.423167700E-2;-1.029506698E-1;7.900865376E-2;9.455001831E0;9.455892387E0
4.622896800E-2;-9.576806426E-2;7.900865376E-2;9.452607155E0;9.453422444E0
4.822636400E-2;-9.097966552E-2;7.661445439E-2;9.452607155E0;9.453355441E0
5.022386400E-2;-8.858546615E-2;6.943184882E-2;9.459790230E0;9.460459786E0
5.222146800E-2;-8.858546615E-2;6.224924326E-2;9.471760750E0;9.472379535E0
5.421917700E-2;-8.858546615E-2;6.464344263E-2;9.476549149E0;9.477183649E0
5.621698900E-2;-9.097966552E-2;6.943184882E-2;9.471760750E0;9.472452153E0
5.821490600E-2;-9.816227108E-2;7.422025502E-2;9.476549149E0;9.477348165E0
6.021292700E-2;-1.029506698E-1;7.422025502E-2;9.495702744E0;9.496550852E0
6.221100000E-2;-9.816227108E-2;7.182604820E-2;9.507674217E0;9.508452231E0
6.420912500E-2;-9.337386489E-2;6.943184882E-2;9.510068893E0;9.510780715E0
6.620730200E-2;-9.576806426E-2;6.464344263E-2;9.507674217E0;9.508376271E0
6.820553100E-2;-1.029506698E-1;6.703764945E-2;9.500492096E0;9.501286384E0
7.020381200E-2;-1.077390760E-1;7.182604820E-2;9.490914345E0;9.491797606E0
7.220214500E-2;-1.077390760E-1;7.182604820E-2;9.486125946E0;9.487009653E0
7.420053100E-2;-1.029506698E-1;7.422025502E-2;9.483732224E0;9.484581402E0
7.619896800E-2;-1.029506698E-1;7.182604820E-2;9.476549149E0;9.477380523E0
7.819740600E-2;-1.005564705E-1;6.464344263E-2;9.476549149E0;9.477303105E0
8.019584300E-2;-9.337386489E-2;6.464344263E-2;9.466972351E0;9.467653508E0
8.219428100E-2;-8.858546615E-2;6.464344263E-2;9.457395554E0;9.458031339E0
8.419271800E-2;-9.816227108E-2;6.224924326E-2;9.452607155E0;9.453321788E0
8.619115600E-2;-1.125274822E-1;6.943184882E-2;9.450213432E0;9.451138404E0
8.818959300E-2;-1.101332754E-1;7.422025502E-2;9.447818756E0;9.448752152E0
9.018803100E-2;-9.816227108E-2;7.422025502E-2;9.455001831E0;9.455802668E0
9.218646800E-2;-9.576806426E-2;7.182604820E-2;9.457395554E0;9.458153158E0
9.418469800E-2;-1.005564705E-1;6.224924326E-2;9.452607155E0;9.453346952E0
9.618271800E-2;-1.029506698E-1;5.746084079E-2;9.462183952E0;9.462918458E0
9.818042700E-2;-9.576806426E-2;5.746084079E-2;9.476549149E0;9.477207238E0
1.001778230E-1;-9.337386489E-2;5.985504389E-2;9.481337547E0;9.481986237E0
