"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
-9.392083339E-4;9.505233765E-2;3.772155762E-2;9.781708832E0;9.782243379E0
9.039791667E-3;1.103205872E-1;4.326004028E-2;9.790091400E0;9.790808531E0
1.901879167E-2;9.804611206E-2;5.388793945E-2;9.802365875E0;9.803004320E0
2.899879167E-2;9.340576172E-2;5.209167480E-2;9.800569611E0;9.801153140E0
3.897779167E-2;9.250762939E-2;4.924758911E-2;9.775122528E0;9.775684294E0
4.895679167E-2;9.175918579E-2;4.670288086E-2;9.775122528E0;9.775664752E0
5.893579167E-2;9.789642334E-2;4.924758911E-2;9.779912567E0;9.780526512E0
6.891479167E-2;1.008901978E-1;5.239105225E-2;9.783056030E0;9.783716520E0
7.889479167E-2;9.595046997E-2;4.924758911E-2;9.781409454E0;9.782004024E0
8.887379167E-2;9.175918579E-2;4.999603271E-2;9.794132996E0;9.794690423E0
9.885279167E-2;1.061293030E-1;4.041595459E-2;9.789792023E0;9.790450691E0
1.088317917E-1;9.056167603E-2;5.089416504E-2;9.788295135E0;9.788846372E0
1.188107917E-1;1.011895752E-1;5.044509888E-2;9.792037354E0;9.792690109E0
1.287907917E-1;9.939331055E-2;5.134323120E-2;9.788295135E0;9.788934407E0
1.387697917E-1;9.280700684E-2;5.269042969E-2;9.790989532E0;9.791571143E0
1.487487917E-1;1.013392639E-1;5.104385376E-2;9.787397003E0;9.788054721E0
1.587277917E-1;1.017883301E-1;4.969665527E-2;9.792636108E0;9.793291202E0
1.687077917E-1;9.699829102E-2;5.703140259E-2;9.789193268E0;9.789839942E0
1.786867917E-1;9.849517822E-2;4.834945679E-2;9.791139221E0;9.791753991E0
1.886657917E-1;9.505233765E-2;5.224136353E-2;9.787247314E0;9.787848288E0
1.986447917E-1;9.250762939E-2;4.775070190E-2;9.787247314E0;9.787800968E0
2.086237917E-1;1.017883301E-1;4.400848389E-2;9.784852295E0;9.785480675E0
2.186037917E-1;9.430389404E-2;4.490661621E-2;9.785750427E0;9.786307846E0
2.285827917E-1;8.861572266E-2;4.625381470E-2;9.785600739E0;9.786111280E0
2.385617917E-1;9.145980835E-2;5.298980713E-2;9.783205719E0;9.783776723E0
2.485407917E-1;9.834548950E-2;5.403762817E-2;9.784552917E0;9.785196354E0
2.585197917E-1;9.520202637E-2;6.331832886E-2;9.789193268E0;9.789860953E0
2.684997917E-1;9.116043091E-2;4.730163574E-2;9.794731750E0;9.795270172E0
2.784787917E-1;9.205856323E-2;3.427871704E-2;9.792935486E0;9.793428166E0
2.884577917E-1;9.819580078E-2;5.538482666E-2;9.795180817E0;9.795829578E0
2.984367917E-1;9.789642334E-2;4.805007935E-2;9.784253540E0;9.784861259E0
3.084157917E-1;1.023870850E-1;5.044509888E-2;9.789043579E0;9.789708985E0
3.183957917E-1;8.876541138E-2;6.152206421E-2;9.785900116E0;9.786496071E0
3.283747917E-1;8.906478882E-2;5.658233643E-2;9.763297119E0;9.763867304E0
3.383537917E-1;9.999206543E-2;5.688171387E-2;9.786349182E0;9.787025302E0
3.483327917E-1;9.669891357E-2;4.610412598E-2;9.783056030E0;9.783642551E0
3.583117917E-1;9.879455566E-2;4.700225830E-2;9.793384552E0;9.793995638E0
3.682917917E-1;1.026864624E-1;4.909790039E-2;9.791737976E0;9.792399487E0
3.782707917E-1;9.864486694E-2;4.580474854E-2;9.777816925E0;9.778421790E0
3.882497917E-1;9.729766846E-2;5.777984619E-2;9.784403229E0;9.785057582E0
3.982287917E-1;9.834548950E-2;4.056564331E-2;9.799970856E0;9.800548259E0
4.082077917E-1;8.786727905E-2;5.164260864E-2;9.782756653E0;9.783287553E0
4.181877917E-1;1.035845947E-1;5.074447632E-2;9.793534241E0;9.794213480E0
4.281667917E-1;9.729766846E-2;4.745132446E-2;9.789941711E0;9.790540188E0
4.381457917E-1;9.310638428E-2;4.909790039E-2;9.785451050E0;9.786017150E0
4.481247917E-1;1.025367737E-1;4.131408691E-2;9.779014435E0;9.779639255E0
4.581047917E-1;9.984237671E-2;4.490661621E-2;9.783056030E0;9.783668555E0
4.680837917E-1;9.430389404E-2;5.568420410E-2;9.764644318E0;9.765258450E0
4.780627917E-1;9.550140381E-2;5.583389282E-2;9.764344940E0;9.764971585E0
4.880417917E-1;1.284329224E-1;3.652404785E-2;9.871971130E0;9.872874101E0
4.980207917E-1;9.804611206E-2;4.819976807E-2;9.743238831E0;9.743851352E0
5.080007917E-1;1.002914429E-1;3.966751099E-2;9.796378326E0;9.796971991E0
5.179797917E-1;1.119671631E-1;4.670288086E-2;9.785451050E0;9.786203046E0
