"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.136458333E-3;9.011260986E-2;4.146377563E-2;9.769883423E0;9.770386974E0
1.611545833E-2;9.475296021E-2;4.520599365E-2;9.782906342E0;9.783469640E0
2.609545833E-2;9.265731812E-2;4.415817261E-2;9.781559143E0;9.782097658E0
3.607445833E-2;8.786727905E-2;5.328918457E-2;9.787097626E0;9.787637117E0
4.605345833E-2;8.831634521E-2;5.104385376E-2;9.788444824E0;9.788976317E0
5.603245833E-2;8.143066406E-2;4.445755005E-2;9.789941711E0;9.790381307E0
6.601145833E-2;8.726852417E-2;4.984634399E-2;9.787995758E0;9.788511706E0
7.599070833E-2;9.145980835E-2;4.954696655E-2;9.791588287E0;9.792140777E0
8.596970833E-2;9.385482788E-2;4.625381470E-2;9.794282684E0;9.794841573E0
9.594870833E-2;8.771759033E-2;5.343887329E-2;9.787397003E0;9.787935951E0
1.059277083E-1;9.505233765E-2;5.224136353E-2;9.789043579E0;9.789644442E0
1.159067083E-1;9.190887451E-2;4.760101318E-2;9.788893890E0;9.789441082E0
1.258857083E-1;9.490264893E-2;5.613327026E-2;9.785001984E0;9.785623193E0
1.358647083E-1;9.669891357E-2;4.864883423E-2;9.787247314E0;9.787845901E0
1.458447083E-1;9.415420532E-2;5.074447632E-2;9.787247314E0;9.787831732E0
1.558237083E-1;9.175918579E-2;5.239105225E-2;9.780661011E0;9.781231741E0
1.658027083E-1;9.026229858E-2;5.972579956E-2;9.783505096E0;9.784103762E0
1.757817083E-1;9.595046997E-2;5.224136353E-2;9.788744202E0;9.789353845E0
1.857607083E-1;1.013392639E-1;4.849914551E-2;9.782906342E0;9.783551416E0
1.957397083E-1;8.607101440E-2;5.239105225E-2;9.768685913E0;9.769205572E0
2.057187083E-1;9.520202637E-2;4.610412598E-2;9.786648560E0;9.787220190E0
2.156977083E-1;9.116043091E-2;4.879852295E-2;9.779613190E0;9.780159797E0
2.256767083E-1;8.547225952E-2;4.775070190E-2;9.788145447E0;9.788635090E0
2.356557083E-1;9.624984741E-2;5.089416504E-2;9.795929260E0;9.796534302E0
2.456347083E-1;9.086105347E-2;5.134323120E-2;9.786947937E0;9.787504369E0
2.556137083E-1;9.430389404E-2;4.640350342E-2;9.789492645E0;9.790056831E0
2.655927083E-1;9.190887451E-2;5.104385376E-2;9.790989532E0;9.791553949E0
2.755727083E-1;8.726852417E-2;5.239105225E-2;9.790241089E0;9.790770204E0
2.855517083E-1;9.041198730E-2;4.939727783E-2;9.787995758E0;9.788537959E0
2.955307083E-1;9.565109253E-2;5.358856201E-2;9.790839844E0;9.791453708E0
3.055097083E-1;9.400451660E-2;5.328918457E-2;9.788744202E0;9.789340613E0
3.154887083E-1;9.804611206E-2;4.715194702E-2;9.787097626E0;9.787702298E0
3.254677083E-1;9.340576172E-2;4.775070190E-2;9.784103851E0;9.784666215E0
3.354467083E-1;1.014889526E-1;4.790039063E-2;9.787546692E0;9.788190063E0
3.454257083E-1;9.041198730E-2;4.819976807E-2;9.787696381E0;9.788232628E0
3.554047083E-1;8.277786255E-2;4.999603271E-2;9.785451050E0;9.785928879E0
3.653837083E-1;9.101074219E-2;5.448669434E-2;9.788893890E0;9.789468594E0
3.753627083E-1;9.610015869E-2;5.179229736E-2;9.780062256E0;9.780671521E0
3.853417083E-1;9.190887451E-2;5.298980713E-2;9.788594513E0;9.789169408E0
3.953217083E-1;9.714797974E-2;4.894821167E-2;9.785301361E0;9.785906007E0
4.053007083E-1;8.981323242E-2;4.565505981E-2;9.780661011E0;9.781179919E0
4.152797083E-1;8.951385498E-2;5.179229736E-2;9.776769104E0;9.777316057E0
4.252587083E-1;9.415420532E-2;5.239105225E-2;9.782157898E0;9.782751299E0
4.352377083E-1;9.325607300E-2;4.894821167E-2;9.788594513E0;9.789161106E0
4.452167083E-1;9.145980835E-2;4.775070190E-2;9.785451050E0;9.785994956E0
4.551957083E-1;9.430389404E-2;4.730163574E-2;9.786199493E0;9.786768169E0
4.651747083E-1;9.535171509E-2;5.014572144E-2;9.780810699E0;9.781404014E0
4.751537083E-1;8.652008057E-2;4.984634399E-2;9.791139221E0;9.791648361E0
4.851327083E-1;8.577163696E-2;5.613327026E-2;9.779014435E0;9.779551679E0
4.951117083E-1;9.385482788E-2;5.478607178E-2;9.780062256E0;9.780666029E0
5.050907083E-1;1.007405090E-1;5.044509888E-2;9.787397003E0;9.788045436E0
5.150707083E-1;8.816665649E-2;4.924758911E-2;9.791288910E0;9.791809700E0
5.250497083E-1;8.696914673E-2;5.343887329E-2;9.789492645E0;9.790024801E0
5.350287083E-1;8.217910767E-2;4.790039063E-2;9.791887665E0;9.792349662E0
5.450077083E-1;9.954299927E-2;4.984634399E-2;9.784403229E0;9.785036536E0
5.549867083E-1;9.834548950E-2;5.418731689E-2;9.792336731E0;9.792980484E0
5.649657083E-1;9.355545044E-2;4.535568237E-2;9.789193268E0;9.789745379E0
5.749447083E-1;9.445358276E-2;5.373825073E-2;9.792935486E0;9.793538416E0
5.849237083E-1;8.861572266E-2;5.433700562E-2;9.787247314E0;9.787799306E0
5.949027083E-1;9.460327148E-2;4.595443726E-2;9.791588287E0;9.792153123E0
6.048817083E-1;8.981323242E-2;5.044509888E-2;9.791887665E0;9.792429482E0
6.148607083E-1;9.864486694E-2;5.298980713E-2;9.795330505E0;9.795970521E0
6.248397083E-1;9.116043091E-2;5.628295898E-2;9.782457275E0;9.783043920E0
6.348197083E-1;8.921447754E-2;4.864883423E-2;9.791139221E0;9.791666517E0
6.447987083E-1;8.771759033E-2;4.550537109E-2;9.789342957E0;9.789841706E0
6.547777083E-1;9.340576172E-2;5.164260864E-2;9.784403229E0;9.784985342E0
6.647567083E-1;8.771759033E-2;5.643264771E-2;9.785001984E0;9.785557871E0
6.747357083E-1;9.639953613E-2;5.433700562E-2;9.783804474E0;9.784430252E0
6.847147083E-1;9.445358276E-2;4.819976807E-2;9.789342957E0;9.789917273E0
6.946937083E-1;9.535171509E-2;5.194198608E-2;9.794582062E0;9.795183903E0
7.046727083E-1;9.116043091E-2;5.029541016E-2;9.786199493E0;9.786753311E0
7.146517083E-1;9.699829102E-2;5.044509888E-2;9.785001984E0;9.785612766E0
7.246307083E-1;9.131011963E-2;3.951782227E-2;9.782157898E0;9.782663867E0
7.346097083E-1;9.235794067E-2;4.790039063E-2;9.793534241E0;9.794086857E0
7.445887083E-1;9.550140381E-2;5.014572144E-2;9.791438599E0;9.792032728E0
7.545677083E-1;9.041198730E-2;5.763015747E-2;9.779613190E0;9.780200903E0
7.645477083E-1;9.071136475E-2;4.834945679E-2;9.778565369E0;9.779105628E0
7.745267083E-1;8.562194824E-2;4.894821167E-2;9.781858521E0;9.782355706E0
7.845057083E-1;9.819580078E-2;4.849914551E-2;9.792935486E0;9.793547877E0
7.944847083E-1;9.400451660E-2;4.909790039E-2;9.785750427E0;9.786325096E0
8.044637083E-1;8.472381592E-2;5.269042969E-2;9.786498871E0;9.787007436E0
8.144427083E-1;1.029858398E-1;5.448669434E-2;9.791139221E0;9.791832420E0
8.244217083E-1;8.786727905E-2;5.628295898E-2;9.793983307E0;9.794539165E0
8.344007083E-1;8.831634521E-2;4.355941772E-2;9.786349182E0;9.786844615E0
8.443797083E-1;9.280700684E-2;4.550537109E-2;9.781858521E0;9.782404612E0
8.543587083E-1;8.786727905E-2;4.939727783E-2;9.791139221E0;9.791658082E0
8.643377083E-1;8.622070312E-2;5.029541016E-2;9.791139221E0;9.791648017E0
8.743167083E-1;8.846603394E-2;5.822891235E-2;9.784403229E0;9.784976412E0
8.842967083E-1;8.532257080E-2;4.281097412E-2;9.785001984E0;9.785467620E0
8.942757083E-1;8.981323242E-2;4.490661621E-2;9.788145447E0;9.788660496E0
9.042547083E-1;9.385482788E-2;4.206253052E-2;9.796977081E0;9.797516926E0
9.142337083E-1;9.235794067E-2;5.837860107E-2;9.781259766E0;9.781869998E0
9.242127083E-1;8.232879639E-2;5.927673340E-2;9.766440582E0;9.766967462E0
9.341917083E-1;1.029858398E-1;4.565505981E-2;9.794582062E0;9.795229871E0
9.441707083E-1;9.684860229E-2;4.505630493E-2;9.792636108E0;9.793218658E0
9.541497083E-1;9.699829102E-2;4.326004028E-2;9.805659027E0;9.806234193E0
9.641287083E-1;1.007405090E-1;4.894821167E-2;9.789642334E0;9.790283020E0
9.741077083E-1;1.016386414E-1;3.607498169E-2;9.813442841E0;9.814035470E0
9.840867083E-1;9.131011963E-2;4.655319214E-2;9.780211945E0;9.780748970E0
9.940657083E-1;9.759704590E-2;4.685256958E-2;9.769134979E0;9.769734827E0
1.004045708E0;6.316864014E-2;7.095245361E-2;9.754016418E0;9.754479013E0
1.014024708E0;-3.537144470E-1;4.960684204E-1;9.803862762E0;9.822775720E0
1.024003708E0;-5.849835205E-1;1.302740936E0;9.842332764E0;9.945393602E0
1.033982708E0;3.858975220E-1;5.275030518E-1;9.797426147E0;9.819202385E0
1.043961708E0;3.830534363E-1;8.232879639E-3;9.755662994E0;9.763183813E0
1.053940708E0;5.300477600E-1;3.152444458E-1;9.751172333E0;9.770654612E0
1.063919708E0;3.438349915E-1;1.045575714E0;9.787097626E0;9.848793378E0
