"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.687708334E-3;3.273692322E-1;-5.583389282E-2;9.787546692E0;9.793179171E0
1.166670833E-2;3.423381042E-1;-2.050735474E-1;9.781409454E0;9.789546540E0
2.164570833E-2;2.880010986E-1;-2.119592285E-1;9.784702606E0;9.791234674E0
3.162470833E-2;2.962339783E-1;-1.606159973E-1;9.777068481E0;9.782873819E0
4.160370833E-2;2.800675964E-1;-1.733395386E-1;9.774074707E0;9.779622735E0
5.158270833E-2;3.622467041E-1;-2.185455322E-2;9.773475952E0;9.780211270E0
6.156170833E-2;3.676354980E-1;-7.768844604E-2;9.776769104E0;9.783987197E0
7.154070833E-2;4.785548401E-1;1.194515991E-1;9.763147430E0;9.775598763E0
8.152070833E-2;4.947212219E-1;1.598675537E-1;9.768236847E0;9.782063066E0
9.149970833E-2;4.188290405E-1;-9.145980835E-2;9.820328522E0;9.829681324E0
1.014787083E-1;5.037025452E-1;-1.109193420E-1;9.777966614E0;9.791560164E0
1.114577083E-1;7.963439941E-1;-3.644920349E-1;9.815688171E0;9.854681754E0
1.214367083E-1;4.267625427E-1;2.251318359E-1;9.769434357E0;9.781342355E0
1.314157083E-1;-1.163081360E-1;2.644999695E-1;9.757159882E0;9.761437229E0
1.413947083E-1;7.813751221E-2;-1.026864624E-1;9.789492645E0;9.790343009E0
1.513737083E-1;3.595523071E-1;-8.352630615E-2;9.803563385E0;9.810510157E0
1.613527083E-1;2.145039368E-1;-2.019300842E-1;9.779313812E0;9.783750116E0
1.713327083E-1;3.308120728E-2;-2.878514099E-1;9.796228638E0;9.800512656E0
1.813117083E-1;6.848258972E-1;1.886077881E-2;9.710157623E0;9.734295214E0
1.912907083E-1;6.872209167E-1;2.700384521E-1;9.792636108E0;9.820433560E0
2.012697083E-1;2.838098145E-1;-1.577719116E-1;9.794432373E0;9.799813544E0
2.112487083E-1;4.519102478E-1;-1.074765015E-1;9.765243073E0;9.776284894E0
2.212277083E-1;4.906796265E-1;-1.378633118E-1;9.740394745E0;9.753720448E0
2.312067083E-1;4.472698975E-1;-1.416055298E-1;9.818681946E0;9.829883908E0
2.411857083E-1;4.742138672E-1;-1.830693054E-1;9.757758636E0;9.770990061E0
2.511647083E-1;3.128494263E-1;-8.128097534E-2;9.726623383E0;9.731992796E0
2.611447083E-1;1.932481384E-1;1.377136230E-1;9.773925018E0;9.776805212E0
2.711237083E-1;2.441423035E-1;1.751358032E-2;9.861043854E0;9.864081208E0
2.811027083E-1;4.189787292E-1;-1.210981750E-1;9.709409180E0;9.719199276E0
2.910817083E-1;3.727249146E-1;-2.065704346E-1;9.869426422E0;9.878622025E0
3.010607083E-1;2.603086853E-1;-1.797761536E-1;9.787397003E0;9.792508370E0
3.110397083E-1;3.149450684E-1;-9.086105347E-2;9.770033112E0;9.775530325E0
3.210187083E-1;2.957849121E-1;1.676513672E-1;9.780062256E0;9.785970234E0
3.309975833E-1;3.367996216E-1;1.724414062E-1;9.780062256E0;9.787379003E0
3.409775833E-1;3.356021118E-1;-8.681945801E-2;9.789043579E0;9.795179457E0
3.509565833E-1;3.285667419E-1;-5.254074097E-2;9.781409454E0;9.787067362E0
3.609355833E-1;3.594026184E-1;-5.523513794E-2;9.778415680E0;9.785174213E0
3.709145833E-1;3.243754578E-1;-6.496490479E-2;9.792336731E0;9.797923174E0
3.808935833E-1;3.088078308E-1;-6.556365967E-2;9.787696381E0;9.792786187E0
3.908725833E-1;3.385958862E-1;-5.388793945E-2;9.779762878E0;9.785770948E0
4.008515833E-1;3.412902832E-1;-5.807922363E-2;9.782906342E0;9.789030020E0
4.108305833E-1;3.366499329E-1;-6.227050781E-2;9.782906342E0;9.788895100E0
4.208095833E-1;3.299139404E-1;-5.463638306E-2;9.785750427E0;9.791462596E0
4.307895833E-1;3.236270142E-1;-5.508544922E-2;9.789642334E0;9.795145016E0
4.407685833E-1;3.245251465E-1;-5.822891235E-2;9.783505096E0;9.789059155E0
4.507475833E-1;3.327580261E-1;-6.047424316E-2;9.770781555E0;9.776633226E0
4.607265833E-1;3.245251465E-1;-4.715194702E-2;9.774074707E0;9.779574441E0
4.707055833E-1;3.050656128E-1;-4.939727783E-2;9.779762878E0;9.784644453E0
4.806845833E-1;3.147953796E-1;-4.730163574E-2;9.779164124E0;9.784343848E0
4.906635833E-1;3.050656128E-1;-5.044509888E-2;9.787995758E0;9.792878570E0
5.006425833E-1;3.022215271E-1;-5.179229736E-2;9.781708832E0;9.786513575E0
5.106215833E-1;3.040177917E-1;-4.834945679E-2;9.785750427E0;9.790591193E0
5.206015833E-1;2.944377136E-1;-4.730163574E-2;9.788744202E0;9.793285662E0
5.305805833E-1;2.908451843E-1;-4.745132446E-2;9.792037354E0;9.796470695E0
5.405595833E-1;2.844085693E-1;-4.385879517E-2;9.787397003E0;9.791626623E0
5.505385833E-1;2.885998535E-1;-4.385879517E-2;9.780661011E0;9.785016263E0
5.605175833E-1;2.842588806E-1;-4.715194702E-2;9.779164124E0;9.783408270E0
5.704965833E-1;2.755769348E-1;-4.565505981E-2;9.787247314E0;9.791232661E0
5.804755833E-1;2.869532776E-1;-4.535568237E-2;9.782756653E0;9.787069380E0
5.904545833E-1;3.008743286E-1;-3.323089600E-2;9.780960388E0;9.785643350E0
6.004335833E-1;2.894979858E-1;-4.445755005E-2;9.786199493E0;9.790581499E0
6.104135833E-1;3.272195435E-1;-5.194198608E-2;9.779912567E0;9.785523002E0
6.203925833E-1;3.704795837E-1;-6.436614990E-2;9.782606964E0;9.789831313E0
6.303715833E-1;5.252577209E-1;-1.181044006E-1;9.780661011E0;9.795467019E0
6.403505833E-1;5.852828979E-1;-1.576222229E-1;9.776170349E0;9.794942957E0
6.503295833E-1;5.318440247E-1;-2.607577515E-1;9.752669220E0;9.770640183E0
6.603085833E-1;9.595046997E-1;-3.739224243E-1;9.782307587E0;9.836361572E0
6.702875833E-1;1.120270386E0;-1.329235840E-1;9.766739960E0;9.831677571E0
6.802665833E-1;1.784289551E0;-1.351689148E-1;9.719887390E0;9.883226736E0
6.902465833E-1;1.682650909E0;4.161346436E-2;9.771230621E0;9.915139617E0
7.002255833E-1;2.379152527E0;-1.856140137E-2;9.722282410E0;1.000917012E1
7.102045833E-1;2.604434052E0;-5.239105225E-2;9.737700348E0;1.008011060E1
7.201835833E-1;2.616558838E0;-1.249900818E-1;9.728569336E0;1.007507141E1
7.301625833E-1;1.594933319E0;-9.624984741E-2;9.758207703E0;9.888159277E0
7.401415833E-1;1.474583588E0;-7.214996338E-2;9.727371826E0;9.838768471E0
7.501205833E-1;-1.495390320E-1;7.888595581E-2;9.820178833E0;9.821634142E0
7.600995833E-1;-2.101330261E0;-1.022373962E-1;9.857601013E0;1.007960015E1
7.700785833E-1;-2.903961182E-1;-5.234614563E-1;9.764045563E0;9.782378420E0
7.800585833E-1;1.870360565E0;-7.518864441E-1;9.754465485E0;9.960581246E0
7.900375833E-1;2.850222931E0;-5.397775269E-1;9.752968597E0;1.017524088E1
8.000165833E-1;2.276466064E0;-3.143463135E-2;9.711205444E0;9.974507359E0
8.099955833E-1;1.735041962E0;-1.721420288E-2;9.769584045E0;9.922471434E0
8.199745833E-1;1.659299469E0;-2.424957275E-1;9.773026886E0;9.915852632E0
8.299535833E-1;2.539469147E0;-1.672023010E-1;9.685758362E0;1.001452821E1
8.399325833E-1;4.030069427E0;-3.218307495E-1;9.677076416E0;1.048765191E1
8.499115833E-1;5.402714996E0;-5.854325867E-1;9.639055481E0;1.106541690E1
8.598915833E-1;4.989723816E0;-3.068618774E-1;9.649084625E0;1.086721409E1
8.698705833E-1;3.488495636E0;-3.847000122E-2;9.683812408E0;1.029307070E1
8.798495833E-1;3.721560974E0;-1.420545959E-1;9.698182526E0;1.038869289E1
8.898285833E-1;4.730762329E0;-3.016227722E-1;9.632169800E0;1.073544520E1
8.998075833E-1;4.445605316E0;-6.159690857E-1;9.759704590E0;1.074219057E1
9.097865833E-1;5.076692963E0;-2.546205139E-1;9.657167816E0;1.091322745E1
9.197655833E-1;5.407205658E0;-5.508544922E-2;9.671837311E0;1.108085486E1
9.297445833E-1;3.635489960E0;1.380130005E-1;9.697733459E0;1.035769613E1
9.397235833E-1;3.578009491E0;7.559280396E-2;9.697583771E0;1.033687560E1
9.497035833E-1;4.144281921E0;-1.242416382E-1;9.688901825E0;1.053875359E1
9.596825833E-1;2.088007965E0;-9.999206543E-2;9.746232605E0;9.967889730E0
9.696615833E-1;5.926176453E-1;1.953437805E-1;9.755363617E0;9.775299185E0
9.796405833E-1;1.435963898E0;4.839436340E-1;9.746232605E0;9.863328229E0
9.896195833E-1;3.625460815E0;-3.373983765E-1;9.729168091E0;1.038819116E1
9.995985833E-1;3.971241760E0;-5.257067871E-1;9.732760620E0;1.052491131E1
1.009577583E0;2.566562805E0;3.147953796E-1;9.786498871E0;1.012234661E1
1.019556583E0;1.947899323E0;4.822970581E-1;9.714199219E0;9.919303841E0
1.029536583E0;2.503094788E0;7.280859375E-1;9.693691864E0;1.003809019E1
1.039515583E0;3.121608582E0;5.222639465E-1;9.667346649E0;1.017225594E1
1.049494583E0;3.374133453E0;-4.251159668E-2;9.859247589E0;1.042071719E1
1.059473583E0;4.174818420E0;-4.632865906E-1;9.731413422E0;1.059925236E1
1.069452583E0;3.524570618E0;-1.942959595E-1;9.718091125E0;1.033932513E1
1.079431583E0;1.824855194E0;-7.409591675E-2;9.702074432E0;9.872478664E0
1.089410583E0;2.000290375E0;8.322692871E-2;9.795480194E0;9.997975822E0
1.099389583E0;2.482138367E0;-1.264869690E-1;9.769883423E0;1.008105312E1
1.109369583E0;1.978585510E0;2.903961182E-2;9.697284393E0;9.897119203E0
1.119348583E0;5.851332092E-1;1.764830017E-1;9.812245331E0;9.831260629E0
1.129327583E0;-2.133064270E-1;3.640429688E-1;9.783505096E0;9.792599190E0
1.139306583E0;4.974156189E-1;-2.574645996E-2;9.822573853E0;9.835194064E0
1.149285583E0;6.786886597E-1;-3.083587646E-1;9.775421906E0;9.803804203E0
1.159264583E0;-3.183879089E-1;2.095642090E-2;9.852361908E0;9.857527337E0
1.169243583E0;4.923262024E-1;-6.721023560E-2;9.714049530E0;9.726749744E0
1.179222583E0;2.548899536E0;-3.814068604E-1;9.783355408E0;1.011713413E1
1.189201583E0;7.758366394E-1;-4.343966675E-1;9.710307312E0;9.750932830E0
1.199181583E0;-1.616937561E0;3.065625000E-1;9.857601013E0;9.994036491E0
1.209160583E0;-1.700463867E0;3.864962769E-1;9.814041595E0;9.967766509E0
1.219139583E0;-5.918692017E-1;-3.622467041E-2;9.783804474E0;9.801757565E0
1.229118583E0;1.116677856E-1;-2.790197754E-1;9.779313812E0;9.783930722E0
1.239097583E0;-5.680686951E-1;-3.332070923E-1;9.812844086E0;9.834919321E0
1.249076583E0;-2.674039307E0;-1.323248291E-1;9.818083191E0;1.017657868E1
1.259055583E0;-3.145858154E0;1.269360352E-1;9.892927551E0;1.038183759E1
1.269034583E0;-1.533411255E0;6.735992432E-3;9.806407471E0;9.925574186E0
1.279014583E0;-1.028361511E-1;-1.356179810E-1;9.797575836E0;9.799054025E0
1.288993583E0;-3.962260437E-1;2.131567383E-1;9.701325989E0;9.711753540E0
1.298972583E0;-2.245330811E0;6.791377258E-1;9.937385101E0;1.021050249E1
1.308951583E0;-1.651964722E0;4.535568237E-1;9.796827393E0;9.945477776E0
1.318930583E0;-1.343007202E0;2.561174011E-1;9.756261749E0;9.851594175E0
1.328909458E0;-6.565347290E-1;-6.301895142E-2;9.824669495E0;9.846783227E0
1.338888458E0;1.133293304E0;-4.785548401E-1;9.803114319E0;9.880000951E0
1.348867458E0;1.061742096E0;-5.125341797E-1;9.651629333E0;9.723370627E0
1.358846458E0;-1.758243713E0;-2.368075562E-1;9.877210236E0;1.003527682E1
1.368826458E0;-2.431842957E0;1.231938171E-1;9.840087433E0;1.013688106E1
1.378805458E0;-1.732946320E0;-6.586303711E-2;9.883347473E0;1.003434094E1
1.388784458E0;-1.429676971E0;-1.245410156E-1;9.828112335E0;9.932335011E0
1.398763458E0;-1.845212860E0;9.131011963E-2;9.719737701E0;9.893758084E0
1.408742458E0;-2.545007629E0;-4.475692749E-2;9.935588837E0;1.025646101E1
1.418721458E0;-1.516945496E0;1.420545959E-1;9.822274475E0;9.939737371E0
1.428700458E0;5.737568665E-1;-2.065704346E-2;9.755662994E0;9.772542357E0
1.438679458E0;1.010698242E0;-4.342469788E-1;9.777068481E0;9.838757516E0
1.448659458E0;-9.490264893E-2;-3.008743286E-2;9.774374084E0;9.774881100E0
1.458638458E0;-1.342258759E0;8.981323242E-3;9.767039337E0;9.858843576E0
