"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.143833334E-3;1.079255676E-1;1.215472412E-1;9.808652802E0;9.809999564E0
1.612283333E-2;9.340576172E-2;1.219963074E-1;9.758956146E0;9.760165613E0
2.610183333E-2;9.849517822E-2;1.230441284E-1;9.777966614E0;9.779236793E0
3.607983333E-2;8.981323242E-2;1.270857239E-1;9.778415680E0;9.779653900E0
4.605883333E-2;9.550140381E-2;1.190025330E-1;9.799970856E0;9.801158651E0
5.603783333E-2;9.654922485E-2;1.233435059E-1;9.800120544E0;9.801372254E0
6.601683333E-2;9.894424438E-2;1.284329224E-1;9.796228638E0;9.797570132E0
7.599583333E-2;1.001417542E-1;1.227447510E-1;9.782307587E0;9.783590157E0
8.597483333E-2;9.789642334E-2;1.285826111E-1;9.793085175E0;9.794418535E0
9.595383333E-2;9.175918579E-2;1.200503540E-1;9.794282684E0;9.795448185E0
1.059328333E-1;1.025367737E-1;1.261875916E-1;9.790390778E0;9.791740840E0
1.159118333E-1;9.086105347E-2;1.213975525E-1;9.783804474E0;9.784979462E0
1.258908333E-1;9.265731812E-2;1.193019104E-1;9.773176575E0;9.774343900E0
1.358698333E-1;9.639953613E-2;1.260379028E-1;9.786947937E0;9.788234179E0
1.458478333E-1;9.849517822E-2;1.284329224E-1;9.797426147E0;9.798762954E0
1.558268333E-1;9.116043091E-2;1.270857239E-1;9.806108093E0;9.807355247E0
1.658058333E-1;1.001417542E-1;1.225950623E-1;9.796378326E0;9.797657181E0
1.757848333E-1;9.669891357E-2;1.213975525E-1;9.795330505E0;9.796559996E0
1.857638333E-1;9.580078125E-2;1.191522217E-1;9.784702606E0;9.785897002E0
1.957428333E-1;1.005908203E-1;1.204994202E-1;9.788295135E0;9.789553630E0
2.057218333E-1;9.699829102E-2;1.185534668E-1;9.777218170E0;9.778418008E0
2.157008333E-1;9.056167603E-2;1.239422607E-1;9.780960388E0;9.782164853E0
2.256798333E-1;8.666976929E-2;1.216969299E-1;9.777517548E0;9.778658967E0
2.356588333E-1;9.565109253E-2;1.197509766E-1;9.782606964E0;9.783807461E0
2.456368333E-1;9.669891357E-2;1.221459961E-1;9.793683929E0;9.794922932E0
2.556158333E-1;9.744735718E-2;1.272354126E-1;9.792935486E0;9.794246794E0
2.655948333E-1;1.016386414E-1;1.266366577E-1;9.794132996E0;9.795478977E0
2.755738333E-1;9.550140381E-2;1.161584473E-1;9.785301361E0;9.786456766E0
2.855528333E-1;9.370513916E-2;1.196012878E-1;9.795180817E0;9.796359138E0
2.955318333E-1;9.385482788E-2;1.266366577E-1;9.796677704E0;9.797945683E0
3.055108333E-1;8.981323242E-2;1.204994202E-1;9.769134979E0;9.770290926E0
3.154898333E-1;9.624984741E-2;1.248403931E-1;9.775272217E0;9.776543155E0
3.254688333E-1;9.789642334E-2;1.224453735E-1;9.786049805E0;9.787305419E0
3.354478333E-1;9.520202637E-2;1.230441284E-1;9.784552917E0;9.785789650E0
3.454268333E-1;9.565109253E-2;1.243913269E-1;9.802066498E0;9.803322394E0
3.554058333E-1;1.049317932E-1;1.215472412E-1;9.807305603E0;9.808620066E0
3.653838333E-1;1.046324158E-1;1.249900818E-1;9.797725525E0;9.799081382E0
3.753628333E-1;1.046324158E-1;1.216969299E-1;9.788295135E0;9.789610807E0
3.853418333E-1;9.834548950E-2;1.210981750E-1;9.786798248E0;9.788041508E0
3.953208333E-1;9.220825195E-2;1.231938171E-1;9.788295135E0;9.789504622E0
4.052998333E-1;9.490264893E-2;1.196012878E-1;9.779014435E0;9.780206250E0
4.152788333E-1;8.577163696E-2;1.215472412E-1;9.774523773E0;9.775655758E0
4.252578333E-1;9.265731812E-2;1.252894592E-1;9.790839844E0;9.792079844E0
4.352368333E-1;9.460327148E-2;1.194515991E-1;9.788145447E0;9.789331425E0
4.452158333E-1;1.034349060E-1;1.234931946E-1;9.790540466E0;9.791865602E0
4.551948333E-1;9.759704590E-2;1.231938171E-1;9.806557159E0;9.807816537E0
4.651728333E-1;1.011895752E-1;1.142124939E-1;9.790390778E0;9.791579822E0
4.751518333E-1;9.295669556E-2;1.257385254E-1;9.787546692E0;9.788795706E0
4.851308333E-1;9.684860229E-2;1.202000427E-1;9.786498871E0;9.787716171E0
4.951098333E-1;9.116043091E-2;1.212478638E-1;9.787846069E0;9.789021501E0
5.050888333E-1;9.595046997E-2;1.216969299E-1;9.782906342E0;9.784133744E0
5.150678333E-1;9.774673462E-2;1.140628052E-1;9.775272217E0;9.776426324E0
5.250468333E-1;1.019380188E-1;1.166075134E-1;9.787995758E0;9.789221094E0
5.350258333E-1;9.415420532E-2;1.270857239E-1;9.791139221E0;9.792416609E0
5.450048333E-1;9.669891357E-2;1.218466187E-1;9.795929260E0;9.797164250E0
5.549838333E-1;9.624984741E-2;1.178050232E-1;9.804910583E0;9.806090638E0
5.649628333E-1;1.010398865E-1;1.285826111E-1;9.791139221E0;9.792504776E0
5.749408333E-1;9.490264893E-2;1.276844788E-1;9.784852295E0;9.786145527E0
5.849198333E-1;8.921447754E-2;1.239422607E-1;9.769434357E0;9.770627849E0
5.948988333E-1;8.217910767E-2;1.152603149E-1;9.781110077E0;9.782134362E0
6.048778333E-1;8.592132568E-2;1.243913269E-1;9.782457275E0;9.783625403E0
6.148568333E-1;9.370513916E-2;1.225950623E-1;9.787846069E0;9.789062308E0
6.248358333E-1;8.876541138E-2;1.209484863E-1;9.798773346E0;9.799921781E0
6.348148333E-1;8.981323242E-2;1.176553345E-1;9.796228638E0;9.797346820E0
6.447938333E-1;8.951385498E-2;1.212478638E-1;9.786199493E0;9.787359925E0
6.547728333E-1;9.684860229E-2;1.133143616E-1;9.786947937E0;9.788083046E0
6.647518333E-1;9.205856323E-2;1.251397705E-1;9.793384552E0;9.794616671E0
6.747308333E-1;9.610015869E-2;1.239422607E-1;9.803413696E0;9.804668124E0
6.847088333E-1;8.996292114E-2;1.251397705E-1;9.780361633E0;9.781575894E0
6.946878333E-1;8.831634521E-2;1.194515991E-1;9.771230621E0;9.772359813E0
7.046668333E-1;9.086105347E-2;1.252894592E-1;9.773925018E0;9.775150303E0
7.146458333E-1;9.190887451E-2;1.225950623E-1;9.792935486E0;9.794134072E0
7.246248333E-1;9.265731812E-2;1.145118713E-1;9.791887665E0;9.792995578E0
7.346038333E-1;9.699829102E-2;1.203497314E-1;9.797575836E0;9.798795079E0
7.445828333E-1;1.049317932E-1;1.215472412E-1;9.799372101E0;9.800687628E0
7.545618333E-1;9.340576172E-2;1.193019104E-1;9.800719299E0;9.801890449E0
7.645408333E-1;9.894424438E-2;1.303788757E-1;9.782008209E0;9.783377393E0
7.745198333E-1;1.002914429E-1;1.182540894E-1;9.773026886E0;9.774256847E0
7.844988333E-1;9.385482788E-2;1.206491089E-1;9.774673462E0;9.775868566E0
7.944768333E-1;9.624984741E-2;1.239422607E-1;9.775571594E0;9.776831067E0
8.044558333E-1;8.666976929E-2;1.219963074E-1;9.770482178E0;9.771628152E0
8.144348333E-1;9.699829102E-2;1.219963074E-1;9.792187042E0;9.793427328E0
8.244138333E-1;9.445358276E-2;1.260379028E-1;9.803862762E0;9.805127847E0
8.343928333E-1;1.043330383E-1;1.149609375E-1;9.788145447E0;9.789376522E0
8.443718333E-1;9.011260986E-2;1.228944397E-1;9.796228638E0;9.797413886E0
8.543508333E-1;9.235794067E-2;1.176553345E-1;9.792037354E0;9.793179683E0
8.643298333E-1;9.310638428E-2;1.173559570E-1;9.799072723E0;9.800217725E0
8.743088333E-1;9.445358276E-2;1.236428833E-1;9.786648560E0;9.787885322E0
8.842878333E-1;8.756790161E-2;1.228944397E-1;9.781559143E0;9.782723059E0
8.942668333E-1;8.681945801E-2;1.224453735E-1;9.773925018E0;9.775077532E0
9.042448333E-1;9.445358276E-2;1.206491089E-1;9.779463501E0;9.780663784E0
9.142238333E-1;1.023870850E-1;1.233435059E-1;9.799372101E0;9.800683155E0
9.242028333E-1;9.714797974E-2;1.248403931E-1;9.802365875E0;9.803642160E0
9.341818333E-1;1.070274353E-1;1.255888367E-1;9.800868988E0;9.802257921E0
9.441608333E-1;9.864486694E-2;1.204994202E-1;9.795031128E0;9.796268969E0
9.541398333E-1;9.460327148E-2;1.254391479E-1;9.790091400E0;9.791352020E0
9.641188333E-1;9.565109253E-2;1.237925720E-1;9.772577820E0;9.773829903E0
9.740978333E-1;9.385482788E-2;1.251397705E-1;9.769883423E0;9.771135594E0
9.840768333E-1;8.831634521E-2;1.266366577E-1;9.774224396E0;9.775443681E0
9.940558333E-1;8.711883545E-2;1.207987976E-1;9.779164124E0;9.780298206E0
1.004034833E0;9.086105347E-2;1.167572021E-1;9.791887665E0;9.793005260E0
1.014012833E0;9.984237671E-2;1.224453735E-1;9.798024902E0;9.799298616E0
1.023991833E0;9.684860229E-2;1.202000427E-1;9.783654785E0;9.784872439E0
1.033970833E0;9.595046997E-2;1.222956848E-1;9.791588287E0;9.792822061E0
1.043949833E0;9.969268799E-2;1.210981750E-1;9.791139221E0;9.792395552E0
1.053928833E0;9.714797974E-2;1.248403931E-1;9.797126770E0;9.798403737E0
1.063907833E0;9.699829102E-2;1.237925720E-1;9.773625641E0;9.774890866E0
1.073886833E0;9.909393311E-2;1.187031555E-1;9.776170349E0;9.777393147E0
1.083865833E0;9.325607300E-2;1.088237000E-1;9.784253540E0;9.785303093E0
1.093844833E0;9.071136475E-2;1.106199646E-1;9.782457275E0;9.783503241E0
1.103823833E0;9.235794067E-2;1.236428833E-1;9.793833618E0;9.795049489E0
1.113802833E0;9.520202637E-2;1.245410156E-1;9.801767120E0;9.803020584E0
1.123780833E0;9.894424438E-2;1.161584473E-1;9.790989532E0;9.792178449E0
1.133759833E0;9.939331055E-2;1.257385254E-1;9.799671478E0;9.800982108E0
1.143738833E0;9.939331055E-2;1.215472412E-1;9.800419922E0;9.801677581E0
1.153717833E0;9.744735718E-2;1.193019104E-1;9.784852295E0;9.786064754E0
1.163696833E0;9.295669556E-2;1.202000427E-1;9.770631866E0;9.771813346E0
1.173675833E0;8.756790161E-2;1.202000427E-1;9.771979065E0;9.773110612E0
1.183654833E0;8.472381592E-2;1.209484863E-1;9.778265991E0;9.779380985E0
1.193633833E0;8.532257080E-2;1.181044006E-1;9.778715057E0;9.779800446E0
1.203612833E0;9.460327148E-2;1.204994202E-1;9.798773346E0;9.799970866E0
1.213591833E0;9.744735718E-2;1.175056458E-1;9.796977081E0;9.798166333E0
1.223570833E0;1.011895752E-1;1.196012878E-1;9.810598755E0;9.811849557E0
1.233548833E0;9.160949707E-2;1.164578247E-1;9.789941711E0;9.791062937E0
1.243527833E0;9.535171509E-2;1.175056458E-1;9.782906342E0;9.784076656E0
1.253506833E0;9.984237671E-2;1.233435059E-1;9.781259766E0;9.782546945E0
1.263485833E0;8.277786255E-2;1.193019104E-1;9.780211945E0;9.781289833E0
1.273464833E0;8.637039185E-2;1.254391479E-1;9.788145447E0;9.789330218E0
1.283443833E0;9.265731812E-2;1.231938171E-1;9.790989532E0;9.792202925E0
1.293422833E0;9.460327148E-2;1.242416382E-1;9.782307587E0;9.783553929E0
1.303401833E0;1.013392639E-1;1.184037781E-1;9.782906342E0;9.784147668E0
1.313380833E0;1.028361511E-1;1.176553345E-1;9.793534241E0;9.794780803E0
1.323359833E0;1.011895752E-1;1.199006653E-1;9.788594513E0;9.789851788E0
1.333338833E0;8.906478882E-2;1.221459961E-1;9.801018677E0;9.802184414E0
1.343316833E0;9.235794067E-2;1.149609375E-1;9.802365875E0;9.803475035E0
1.353295833E0;9.385482788E-2;1.173559570E-1;9.786798248E0;9.787951834E0
1.363274833E0;9.250762939E-2;1.248403931E-1;9.780511322E0;9.781745473E0
1.373253833E0;9.445358276E-2;1.197509766E-1;9.774823151E0;9.776012960E0
1.383232833E0;9.595046997E-2;1.243913269E-1;9.781858521E0;9.783119943E0
1.393211833E0;1.020877075E-1;1.212478638E-1;9.795929260E0;9.797211492E0
1.403190833E0;1.010398865E-1;1.237925720E-1;9.786049805E0;9.787354313E0
1.413169833E0;9.729766846E-2;1.222956848E-1;9.797276459E0;9.798522801E0
1.423148833E0;1.035845947E-1;1.158590698E-1;9.789492645E0;9.790726191E0
1.433127833E0;9.250762939E-2;1.225950623E-1;9.780361633E0;9.781567405E0
1.443106833E0;9.669891357E-2;1.225950623E-1;9.792636108E0;9.793880854E0
1.453084833E0;1.005908203E-1;1.275347900E-1;9.784702606E0;9.786050722E0
1.463063833E0;9.131011963E-2;1.215472412E-1;9.779762878E0;9.780944393E0
1.473042833E0;8.592132568E-2;1.184037781E-1;9.782008209E0;9.783102092E0
1.483021833E0;9.460327148E-2;1.173559570E-1;9.778864746E0;9.780026479E0
1.493000833E0;8.771759033E-2;1.197509766E-1;9.791438599E0;9.792563735E0
1.502979833E0;9.684860229E-2;1.249900818E-1;9.797575836E0;9.798851690E0
1.512958833E0;1.053808594E-1;1.219963074E-1;9.797126770E0;9.798452999E0
1.522937833E0;9.969268799E-2;1.230441284E-1;9.789941711E0;9.791222457E0
1.532916833E0;9.190887451E-2;1.182540894E-1;9.792935486E0;9.794080697E0
1.542895833E0;9.415420532E-2;1.221459961E-1;9.774074707E0;9.775291353E0
1.552874833E0;9.415420532E-2;1.203497314E-1;9.779164124E0;9.780357868E0
